Title,Network/Years,Platforms,Description,Evidence
"Watson","CBS 2025","CBS","Medical drama starring Morris Chestnut as Dr. John Watson, a modern take on the character solving medical mysteries post-Sherlock Holmes.","CBS gave a straight-to-series order for the 2024-2025 season (Deadline); Craig Sweeny (""Elementary,"" ""Limitless"") serves as showrunner and EP (Deadline); premiere episode drew 18.7 million multiplatform viewers (Live+35) (Paramount Press Express); most-streamed CBS Original scripted premiere on Paramount+ with 7 million views (Paramount Press Express); renewed for Season 2 within weeks of launch (Variety)."
"The Neighborhood","CBS 2018-","CBS","A friendly Midwestern family moves into a tough L.A. neighborhood and butts heads with their wary next-door neighbor (Cedric the Entertainer).","Premiered on October 1, 2018 (IMDb); produced by Kapital Entertainment (CBS Fandom); consistently ranks among CBS's top-10 sitcoms by live ratings (Paramount Press Express); renewed for multiple seasons, with Season 7 premiering in October 2024 (Wikipedia)."
"The Chi","Showtime 2018-","Showtime","An interconnected ensemble drama set on Chicago's South Side, created and executive-produced by Lena Waithe.","Premiered on January 7, 2018 (Wikipedia); renewed for a seventh season, which premiered on May 18, 2025 (Forbes); Season Seven's premiere drew two million cross‑platform viewers, shattering the show's streaming record; renewed for an eighth season in May 2025 (Wikipedia)."
"Crutch (Paramount+ 2025- )","Paramount+ 2025-","Paramount+","A workplace dramedy following a misfit team of tech troubleshooters who salvage corporate crises by day and their own chaotic lives by night.","Received a straight-to-series greenlight from CBS and Paramount+ in early 2025 (Deadline); listed among CBS's 2025 fall development slate (Paramount Press Express); Tracy Morgan stars as Francois ""Frank"" Crutchfield (Economic Times); produced by Kapital Entertainment and CBS Studios (Kapital Entertainment)."
"DMV (CBS 2025- )","CBS 2025-","CBS","A single-camera comedy set inside a busy DMV office, featuring the eccentric staff and hapless visitors who pass through its doors.","Pilot ordered by CBS for the 2025 season (Deadline); featured on CBS's upcoming comedy slate in January 2025 (Paramount Press Express); cast includes Harriet Dyer, Tim Meadows, Molly Kearney, Alex Tarrant, Tony Cavalero, and Gigi Zumbado (TV Insider); based on a short story by award-winning author Katherine Heiny (Wikipedia)."
"Delhi Crime","Netflix 2019-","Netflix","A crime drama based on India's 2012 Delhi gang-rape case, following the officers who brought the perpetrators to justice.","Premiered on March 22, 2019 (IMDb); won the International Emmy for Best Drama Series in 2020 (Wikipedia); Netflix reported strong global viewership in its first month (Netflix Media Center); praised by The Guardian as ""gripping and unflinching"" (The Guardian); renewed for a third season slated to release in 2025 (Wikipedia)."
"RKFC (Kapital Entertainment 2025- )","Kapital Entertainment 2025-","Kapital Entertainment","A half-hour comedic ensemble set in a quirky fast-food chicken chain kitchen, where misadventures and recipe hacks collide.","Announced as part of Kapital's 2025 development slate (Kapital Entertainment); slated to shoot pilot in mid-2025 (internal press release)."
"Civil Justice with Sean Collinson","The CW/Roku 2024-","The CW, The Roku Channel, Apple TV","Daily court-reality series in which veteran mediator and former hostage negotiator Sean Collinson settles headline-worthy disputes on camera.","Series green-lit for The CW's Fall 2024 daytime lineup (The Futon Critic); distributed by Paramount Global Content Distribution to Roku and CW apps (CivilJusticeTV.com); streams free on Roku devices as of October 2024 (Roku)."
"Comedy Pays with Cedric the Entertainer","Instagram 2024-","Instagram","Social-first comedy contest in which Cedric the Entertainer crowns the funniest weekly user-submitted joke, paying $1,000 to each winner.","Series and weekly cash-prize format announced April 2024 by Cedric and Kapital Entertainment (Yahoo Entertainment); official @ComedyPays account launched May 2024, topping 5k followers in first month (Instagram); Cedric hosts and exec-produces via his A Bird and A Bear banner (Instagram)."
"Black Cake","Hulu 2023","Hulu","Family drama unveiling hidden pasts through a matriarch's recipe.","93% critics score on Rotten Tomatoes (Rotten Tomatoes). Named among 2023's best by Time Magazine (Time). Cast lauded for chemistry, earning a ""Best Ensemble"" nod (Shadow&nbsp;&amp;&nbsp;Act)."
